GERM *GL>L GLL>A *LA>L LAL>B *LB>G ALL>B LBB>L BBL>L BLL>B LLB>B LAB>A LBL>B ABB>B BBB>L ABL>B BLB>L
GERM *GL>L GLL>A *LA>G LAL>L ALL>G GLG>A LGL>A LAA>L AAA>G AAL>G LGG>L GGG>L GGL>A LLA>L LLG>A ALA>G
GERM *GL>G GLL>A *GA>G GAL>L ALL>G GLG>A LGL>L ALA>L LAL>G LLG>L LGG>G ALG>L GGL>L GLA>G GGG>L LLA>L
GERM *GL>G GLL>A *GA>G GAL>L ALL>A GLA>A LAL>G GAG>L AGA>L LLA>A ALA>A LAG>G AGL>L GAA>L LAA>L AAG>A
GERM *GL>G GLL>A *GA>G GAL>A ALL>G GAG>L AGL>L LLA>L LAL>L LLG>A AGA>G GLG>A LGL>L LGA>G ALA>G LAG>A
GERM *GL>G GLL>A *GA>G GAL>A ALL>A GAA>A AAL>L ALA>A LAL>G AAG>L AGA>L LLA>L LAA>A LAG>A AAA>L GAG>A
GERM *GL>G GLL>A *GA>G GAL>A ALL>A GAA>A AAL>L ALA>A LAL>G AAG>L AGA>A LAA>L AAA>A LAG>A GAG>G
GERM *GL>A GLL>G *AG>L AGL>G *LG>A LGG>L *AL>L GGL>L ALL>A *LA>L LLG>G LAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>L AGL>G *LG>A LGG>L *AL>G GGL>L ALL>A *GA>G LLG>G GAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>L AGL>G *LG>A LGG>L *AL>A GGL>L ALL>A *AA>A LLG>G AAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>L AGL>G *LG>A LGG>L *AL>B GGL>L ALL>A *BA>B LLG>G BAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>L AGL>G *LG>B LGG>L *BL>L GGL>L BLL>A *LA>L LLG>G LAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>L AGL>G *LG>B LGG>L *BL>G GGL>L BLL>A *GA>G LLG>G GAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>L AGL>G *LG>B LGG>L *BL>A GGL>L BLL>A *AA>A LLG>G AAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>L AGL>G *LG>B LGG>L *BL>B GGL>L BLL>A *BA>B LLG>G BAG>A LGL>G AGG>G GGG>L GLG>L
GERM *GL>A GLL>G *AG>G AGL>B *GB>L GBG>L *LL>G BGL>L LLG>L LGL>G LGG>G GLG>G GGL>G BGG>G GGG>L AGG>L
GERM *GL>A GLL>G *AG>A AGL>G AGG>G GGL>L GLG>G LGL>B GGB>L GBG>G BGL>G LGG>L GGG>G LGB>G BGB>B BGG>G
GERM *GL>A GLL>G *AG>A AGL>G AGG>G GGL>L GLG>G LGL>B GGB>G GBG>G GGG>L BGL>L LLG>G LGB>B LGG>L BGG>L
GERM *GL>A GLL>G *AG>A AGL>B *AB>A ABG>B BGL>L ABL>G BLG>L LGL>G GLG>G LGG>G BGG>G GGL>G GGG>L LLG>L
GERM *GL>A GLL>G *AG>B AGL>G *BG>B BGG>G GGL>L BGL>G GLG>G LGL>B GGB>L GBG>G LGG>L GGG>G LGB>G BGB>B
GERM *GL>A GLL>A *AA>G AAL>L ALL>G GLG>A LGL>L ALA>L LAL>G LLG>L LGG>G ALG>L GGL>L GLA>G GGG>L LLA>L
GERM *GL>A GLL>B *AB>G ABL>L BLL>G GLG>B LGL>L BLB>L LBL>G LLG>L LGG>G BLG>L GGL>L GLB>G GGG>L LLB>L
GERM *GL>A GLL>B *AB>A ABL>B BLL>B ABB>B BBL>L BLB>B LBL>A BBA>L BAB>L LLB>L LBB>B LBA>B BBB>L ABA>B
GERM *GL>A GLL>B *AB>A ABL>B BLL>B ABB>B BBL>L BLB>B LBL>A BBA>L BAB>B LBB>L BBB>B LBA>B ABA>A
